id,text
1244401276680433665,": Indian Textiles Inc. rises to the situation &amp; shows its fortitude! After receiving WHO guidelines on PPE, in less than a…"
1244401276856627200,": America's response to the coronavirus is the worst in the world, which is shocking and has a lot to do with a leader who i…"
1244401276160479240,U.S. Abbot) Corona mins testing kits
1244401276848418821,Lockdown is when you're enjoying your space and you're in charge... I think I'm locked up cos ordinary soap I no f…
1244401276777086979,"In the Battle Against Coronavirus, Humanity Lacks Leadership"
1244401276852592640,No way we need corona cure not fucking dinosaurs
1244401280015044608,: I wonder who these friends of Trump are who told him he should have done nothing about and just ride it through like a…
1244401279926968322,: Last month Trump said the cases of coronavirus would quickly drop down to zero. Today Trump says anything less than .…
1244401280044478482,": America's response to the coronavirus is the worst in the world, which is shocking and has a lot to do with a leader who i…"
1244401280048680961,": Despite the Lockdown, a Calabar Girl must Knockdown a Dog. One man's pet is another man's Pepper Soup 🤣"
1244401280065449984,: can I ride on your Gearstick? lockdown sale % off
1244401279964717057,Thank you
1244401280019312641,: HAPPENING NOW: Pres. Trump and members of the coronavirus task force hold a briefing on COVID-19 from the Rose Garden.
1244401280077803520,": THE NEXT HUNDRED SECONDS MARCH Could we train dogs to pass the 'sniff test', and use them to detect infection…"
1244401280208027653,": Lockdown may work in other countries, but we can't just copy and paste solutions, we need to devise ours. Other countries p…"
1244401280295948288,Fight by staying in shape!
1244401280346247168,: No one feels delight in seeing COVID take over &amp; kill people. Why didnt the Senate do anything after you were briefed? LOT…
1244401280442871819,I— what? Uhm. Ok
1244401280497352705,"Helpful education, thanks"
1244401280656781312,": I don't usually post things like this on here but, My Mom is in the ICU with the Coronavirus and she's not doing well. I'm…"
1244401280606277632,": So this happened twice today, with and : Reporters read Trump quote back to him, Trump denies and attacks.…"
1244401280799277056,: President Trump is now lashing out at who literally read his comments back to him about wanting to be appreciated b…
1244401280811962373,": YOU CANNOT, I repeat YOU CANNOT get coronavirus from your pets. People are dumping their animals at shelters out of ignorance…"
1244401280778481664,": due to the coronavirus outbreak in the U.S. and the consequent El Paso lockdown, the sharp reduction in pollution and huma…"
1244401280824598532,: Lockdown could last until June?
1244401280811806720,": Pelosi can't get away with rewriting history. In January, Democrats were all-consumed with a bogus impeachment. What w…"
1244401280690290689,: How Taiwan fended off the coronavirus - WORLD - WORLD News Group
1244401280912523265,": My MLA isn't on twitter, unfortunately."
1244401280698679297,: Fox is right to be concerned. Very concerned. This could be a legal bloodbath. Discovery will undoubtedly show that its per…
1244401280715345922,": While the media is ambulance chasing Coronavirus non stop /7, is enabling a mining company to destroy Sydney's d…"
1244401280874950661,: China just shut down movie theaters nationwide *after* reopening them. Sound to you like they have pandemic under contr…
1244401280963022849,": So this happened twice today, with and : Reporters read Trump quote back to him, Trump denies and attacks.…"
1244401280916901888,: Trump thinks NYC doctors are nurses are just stealing masks.
1244401281114034176,: Me transferring money from my current to my savings account:
1244401281088860165,: Please see police update re year old boy from area. PLEASE SHARE - his family can’t look f…
1244401284188340225,: Lockdown
1244401284251185152,: ITALY: -year old man who was born during the Spanish Flu pandemic has recovered from a coronavirus infection
1244401284280659970,: First three NHS doctors who died protecting us from Coronavirus: Amged el-Hawrani Adel el-Tayar Habib Zaidi POC at th…
1244401284259733508,: So is the media going to report on these tweets without discussing ’s personality disorders?
1244401284339372033,: A list of academic related things I've done since the lockdown
1244401284343566336,: The Trump admin has added the firearm industry - gun shops included - to a federal list of critical infrastructure during th…
1244401284288929792,": Nope, it was the CDC guidelines by a Trump appointee who restricted who could be tested. Read some…"
1244401284460896256,": My mother and I tested positive for COVID-19 (Coronavirus) last week, and I want to tell you all about my symptoms. I will tell…"
1244401284251291650,: so we eliminate private insurance
1244401284377083905,: The first US death from the coronavirus was February . The th death was Thursday. The th death was today.
1244401284381360129,"MariSmith: New post: Helpful Resources To Protect Yourself, Stay Safe, Boost Your Immune System, and More During Th…"
1244401284427505671,: LATEST Update: Dr. Zelenko In NY Has Now Treated Coronavirus Patients With % Success Using Hydroxychloroquine S…
