37,"My beautiful mum passed away last night; coronavirus was too much for her. She self isolated from the start, shopping once. Her symptoms: lack of taste &amp; extreme fatigue. The pain of losing someone, not tell them that you love them is overwhelming and devastating. Stay in. https://t.co/lnJkv55ymp"
38,"Applications to the Canada Emergency Response Benefit are now open.  Fridays, Saturdays and Sundays are for everyone to apply!

Find out more at https://t.co/WeImWFzm1p  #COVID19 #CERB #CdnTax https://t.co/Cr3G6AIigE"
39,Should I tag @melindagates? Because we seem to be managing a lot better - way above expectations.
40,"Admin officials ""say the White House has made a deliberate political calculation that it will better serve Trump’s interest to put the onus on governors — rather than the federal government — to figure out how to move ahead.""

Let that quote sink in... https://t.co/v2QVZBXslD"
41,"@johnpavlovitz Remembered just now that Trump said he wanted us ""open by Easter."" 

https://t.co/012jcPMcNa"
42,"Lastnight 17 year old Ashanti Harris was shot in the head over 20 times and had to die alone in the hospital because the covid19 restrictions wouldn’t allow her mom to be with her. Her mom had to even sit alone to find out her child was gone. 

My heart is broken and I’m mad af! https://t.co/H6ucrLwLYA"
43,The White House coronavirus briefings have become a boring show of President vs. the press. https://t.co/jNZLkUSrrw via @WSJ
44,Congressional Republicans vow to block funding that would help pay health care costs for coronavirus patients
45,No new positive case in the state for the third day in a row. Total number of cases in the state remains at 35: Uttarakhand Health Department.  #Coronavirus
46,"Wir schaffen das! 
Hey my people? Who can win this fight? WE will win this fight? Who? WE! #CoronaVirusDE #coronavirus 💪 https://t.co/Hlr2qefINH"
47,If you’re black and you don’t wear a mask you can get killed by #Corona! But if you’re black and you do wear a mask you could get killed by cops! #TeamDl
48,"With the anniversary of MLK’s assassination having just passed, our society cannot forget his final call for a movement to end poverty, led by the poor. Let us listen to the welfare rights movement who began ringing the alarm well before the coronavirus.

https://t.co/JpCGQQNVCt"
49,Probably should take some advice from New Zealand.
50,"I won't snitch on you, fellow Americans, if you go to church, take your child to the playground, show your unmasked face in public, buy a non-essential item, go for a drive just because, or try to work to feed your family. #Coronavirus."
51,"The CDC network that tracks #COVID19 hospitalization rates shows overall hospitalization rate increasing, w/ rates increasing w/ age. Rates in ppl 65+ are highest at 39 per 100,000 people. Ppl 65+ should take special precautions to prevent COVID-19. https://t.co/hxtYtJokBG https://t.co/NGaD1dgvHK"
52,Most children staying at Madrasas are ones who have nowhere to go. Many are orphans. The best perhaps only alternative for them in lockdown was to stay where they are. Shameful of @IndiaToday to target such Madrasas. Also @msisodia are you ignorant or bigoted to talk of FIR?
53,If Obama was president Corona wouldn’t even be in America 🤷🏾‍♂️😂
54,"I’m Korean who living in SaudiArabia.
These days i really surprised how the pandemic situation is under the control in Saudi. This video is talking about Riyadh, SaudiArabia markets, during coronavirus pandemic.
#StayHome 

https://t.co/xkSTsSunWY https://t.co/ljHczPq4gv"
55,Wondering how Trump will spin this. https://t.co/bw72wq2gLw
56,this is admirable reporting but the press still won’t grapple w/ the truly frightening question of why—why did Trump basically order govt to stand down for virus invasion?? https://t.co/oAB9KP5ayB
